course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-18 16:56:16.989963"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 06:57:45.433242"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:04:49.207830"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:10:58.614107"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:17:00.616599"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:22:56.714249"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:29:12.057449"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:34:54.419872"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:40:53.822591"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:46:45.438197"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:52:38.726220"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-27 07:58:31.202035"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,15,15,No,0.0,"2021-10-28 06:55:51.282191"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,14,15,No,6.66666666666667,"2021-10-28 07:03:29.138679"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,14,15,No,6.66666666666667,"2021-10-28 07:09:53.678794"
3259,ARTSVIS,317S,"Movement in Question: Introduction to Critical Dance Studies",-,SEM,1,14,15,No,6.66666666666667,"2021-10-28 07:16:11.768527"
