course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,250,250,No,0.0,"2021-10-27 06:56:21.182227"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,249,250,No,0.4,"2021-10-27 07:03:32.038929"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,249,250,No,0.4,"2021-10-27 07:09:50.798384"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,249,250,No,0.4,"2021-10-27 07:15:41.818520"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:21:50.053701"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:27:42.912007"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:33:47.051860"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:39:43.437099"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:45:34.319501"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:51:30.687881"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-27 07:57:25.358736"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,247,250,No,1.2,"2021-10-28 06:54:37.285007"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,241,250,No,3.6,"2021-10-28 07:01:42.790338"
9394,BIOCHEM,301,"Introductory Biochemistry I: Intermediary Metabolism",-,Lecture,1,240,250,No,4.0,"2021-10-28 07:08:36.758205"
