course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,300,300,No,0.0,"2021-10-18 16:56:33.900935"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,300,300,No,0.0,"2021-10-27 06:57:01.192795"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:04:11.505192"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:10:21.121750"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:16:14.089205"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:22:17.412114"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:28:31.400516"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:34:19.907849"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,299,300,No,0.333333333333333,"2021-10-27 07:40:16.564271"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,298,300,No,0.666666666666667,"2021-10-27 07:46:06.925567"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,298,300,No,0.666666666666667,"2021-10-27 07:52:05.259271"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,298,300,No,0.666666666666667,"2021-10-27 07:57:53.866714"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,293,300,No,2.33333333333333,"2021-10-28 06:55:12.959814"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,289,300,No,3.66666666666667,"2021-10-28 07:02:34.894823"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,289,300,No,3.66666666666667,"2021-10-28 07:09:14.496696"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,290,300,No,3.33333333333333,"2021-10-28 07:15:34.077528"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,290,300,No,3.33333333333333,"2021-10-28 07:22:18.626038"
3074,COMPSCI,201,"Data Structures and Algorithms",-,Lecture,1,290,300,No,3.33333333333333,"2021-10-28 07:28:54.990508"
