course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-18 16:57:36.550298"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 06:56:41.787655"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:03:59.258966"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:10:10.627027"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:16:02.264921"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:22:09.501461"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:28:09.254705"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:34:07.704053"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:40:02.009494"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:45:54.999300"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:51:51.863093"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-27 07:57:43.177372"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 06:54:57.539212"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:02:18.704201"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:09:00.104974"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:15:15.126321"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:22:04.355501"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:28:43.947079"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:35:02.899672"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:43:03.279425"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:50:53.289314"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,14,14,No,0.0,"2021-10-28 07:59:22.388563"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:02:15.681443"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:12:04.246626"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:20:13.899618"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:29:04.636139"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:38:16.254853"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:47:27.839080"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-10-29 07:55:58.035821"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 06:57:18.261889"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:04:04.247300"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:10:31.362992"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:17:00.254691"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:23:14.333352"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:29:43.227420"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:35:48.419783"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:42:00.014613"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:48:12.501826"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-01 07:54:22.004696"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,13,14,No,7.14285714285714,"2021-11-02 06:57:19.666974"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:05:07.281130"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:11:54.007813"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:18:55.778647"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:26:01.468919"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:34:07.755987"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:42:00.554944"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:50:08.503926"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,9,14,No,35.7142857142857,"2021-11-02 07:58:45.369651"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,8,14,No,42.8571428571429,"2021-11-03 17:05:13.042709"
2732,CHINESE,101,"First-Year Chinese I",-,Lecture,1,7,14,No,50.0,"2021-11-04 07:23:16.012198"
