course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-18 16:56:54.833187"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-28 07:37:27.585900"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-28 07:44:53.795268"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-28 07:53:09.137865"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-28 08:02:15.390685"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:05:01.897341"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:14:52.767908"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:23:03.775526"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:32:25.870596"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:41:23.930856"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:50:24.494653"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-10-29 07:58:40.578101"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 06:59:22.541214"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:06:06.879973"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:12:37.023554"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:18:54.663491"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:25:20.779468"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:31:36.497388"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:37:44.463013"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:44:03.235304"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:50:09.870425"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-01 07:56:24.711760"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 06:59:40.282730"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:07:27.844692"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:14:10.278550"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:21:03.308712"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:28:22.381155"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:36:06.400473"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:44:00.329645"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 07:52:20.907426"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-02 08:00:58.048211"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-03 17:07:49.449367"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 07:25:17.883287"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 07:31:36.920896"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 07:37:57.616276"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 07:44:28.973108"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 07:50:54.049503"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 07:57:13.515645"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,18,18,No,0.0,"2021-11-04 08:03:20.166124"
4649,CHEM,81S,"Introduction to Research in Chemistry",-,SEM,1,15,18,No,16.6666666666667,"2021-11-05 10:14:29.511031"
