course_num,dept,catalog_num,course_name,topic,section_type,section_num,open_seats,total_seats,reserves,percentage,time_recorded
2790,TURKISH,101,"Elementary Turkish",-,Lecture,1,12,12,No,0.0,"2021-10-18 16:59:48.598109"
2791,TURKISH,203,"Intermediate Turkish",-,Lecture,1,12,12,No,0.0,"2021-10-18 16:59:48.599398"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-18 16:59:48.600850"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:01:53.218720"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:08:22.654549"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:14:12.933725"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:20:22.438333"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:26:10.472349"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:32:19.908624"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:38:12.049553"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:43:59.816483"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:49:57.597546"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 07:55:49.121420"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-27 08:03:05.094123"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 06:59:18.825498"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:06:57.992247"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:13:21.602715"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:20:04.063905"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:26:27.025942"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:33:22.161449"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:39:52.604547"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:47:45.421027"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 07:56:43.520201"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-28 08:04:44.097141"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 07:07:44.058832"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 07:18:04.923247"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 07:26:27.640382"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 07:36:09.638163"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 07:45:07.477866"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 07:53:37.808848"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-10-29 08:02:29.966496"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-11-01 07:02:09.700199"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-11-01 07:08:32.335124"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-11-01 07:14:55.587751"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-11-01 07:21:19.121968"
6347,TURKISH,391,"Turkish Independent Study",-,IND,1,4,4,No,0.0,"2021-11-01 07:27:45.744387"
